song;author
Bank Account;21 Savage
Champion;Kanye West
MIDDLE CHILD;J. Cole
It Was A Good Day;Ice Cube
DNA.;Kendrick Lamar
HUMBLE.;Kendrick Lamar
BUTTERFLY EFFECT;Travis Scott
Moonlight;XXXTENTACION
Kendrick Lamar - Black Friday;CYL music
Redbone;Childish Gambino
White Iverson;Post Malone
A BOY IS A GUN*;Tyler, The Creator
Workin Out;JID
I KNOW ?;Travis Scott
GREECE;DJ Khaled
Can't Be Broken;Lil Wayne
Down Bad;Dreamville
Cocoa Butter Kisses;Chance the Rapper featuring Vic Mensa and Twista
Tyler Herro;Jack Harlow
Self Care;Mac Miller
Rages 2 Riches;Prince Alfonso IV
Heartless;The Weeknd

